"NCT Number","Study Title","Study Status","Conditions","Sponsor","Phases","Study Type","Start Date","Completion Date","Locations","Country"
"NCT04414150","A Trial of SHR-1802 in Patients With Failure of Standard Treatment for Advanced Malignant Tumours","COMPLETED","Malignant Tumours","Jiangsu HengRui Medicine Co., Ltd.","PHASE1","INTERVENTIONAL","2020-06-17","2022-03-15","Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin Municipality, 300060, China","China"
"NCT06383871","A Phase I Clinical Study of HRS-7058 in Patients With Advanced Malignant Tumour","RECRUITING","Advanced Malignant Tumour","Shandong Suncadia Medicine Co., Ltd.","PHASE1","INTERVENTIONAL","2024-06-06","2026-06-01","Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin Municipality, 300060, China","China"
"NCT06915142","A Phase II Clinical Study of HRS-7058 in Combination With Antitumor Drugs in Patients With Advanced Malignant Tumour","RECRUITING","Advanced Malignant Tumour","Shandong Suncadia Medicine Co., Ltd.","PHASE2","INTERVENTIONAL","2025-04-28","2027-10-01","Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, Beijing Municipality, 100021, China|Tianjin Cancer Hospital, Tianjin, Tianjin Municipality, 300060, China","China"
"NCT01750580","Safety Study of BMS-986015 (Anti-KIR) in Combination With Ipilimumab in Subjects With Selected Advanced Tumor","COMPLETED","CANCER, NOS","Bristol-Myers Squibb","PHASE1","INTERVENTIONAL","2012-12-01","2015-04-01","H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, 33612, United States|Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States|University Of Minnesota, Minneapolis, Minnesota, 55455, United States|Memorial Sloan Kettering Cancer Ctr, New York, New York, 10065, United States|The Ohio State University, Columbus, Ohio, 43210, United States|Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States","United States"
"NCT01714739","A Study of an Anti-KIR Antibody Lirilumab in Combination With an Anti-PD1 Antibody Nivolumab and Nivolumab Plus an Anti-CTLA-4 Ipilimumab Antibody in Patients With Advanced Solid Tumors","COMPLETED","CANCER,NOS","Bristol-Myers Squibb","PHASE1|PHASE2","INTERVENTIONAL","2012-10-07","2019-12-13","Ucsf, San Francisco, California, 94115, United States|Florida Cancer Affiliates - Ocala, Ocala, Florida, 34471, United States|University Of Chicago Medical Center, Chicago, Illinois, 60637, United States|Sidney Kimmel Comprehensive Cancer Center At Johns Hopkins, Lutherville, Maryland, 21093, United States|Beth Israel Deaconess Med Ctr, Boston, Massachusetts, 02215, United States|Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States|Massachusetts General Hospital, Boston, Massachusetts, 02215, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, 43210, United States|Providence Portland Med Ctr, Portland, Oregon, 97213, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, 19107, United States|UPMC Eye and Ear Institute, Pittsburgh, Pennsylvania, 15213, United States|West Cancer Center, Germantown, Tennessee, 38138, United States|Texas Oncology-Central Austin Cancer Center, Austin, Texas, 78731, United States|University Of Texas Medical Branch Of Galveston, Galveston, Texas, 77555, United States|University Of Washington, Seattle, Washington, 98195, United States|Juravinski Cancer Center, Hamilton, Ontario, L8V 5C2, Canada|Princess Margaret Cancer Centre, Toronto, Ontario, M5G 2M9, Canada|Local Institution, Bordeaux, 33075, France|Local Institution, Lyon, 69373, France|Local Institution, Nice, 06189, France|Local Institution, Paris, 75005, France|Institut Gustave Roussy, Villejuif, 94805, France|IRCCS Istituto Nazionale Tumori Milano, Milan, MI, 20133, Italy|Local Institution, Siena, 53100, Italy|Local Institution, Barcelona, 08035, Spain|Local Institution - 0038, Madrid, 28034, Spain|Local Institution, Madrid, 28050, Spain|Kantonsspital Graubuenden, Chur, 7000, Switzerland|Centre Hospitalier Universitaire Vaudois, Lausanne, 1011, Switzerland","Switzerland"
"NCT06929195","Clinical Trial to Evaluate the Tolerance of TQB2210 Injection","COMPLETED","Advanced Malignant Tumours","Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.","PHASE1","INTERVENTIONAL","2025-05-16","2026-04-10","Chongqing University Cancer Hospital, Chongqing, Chongqing Municipality, 400030, China|ZhuJiang Hospital of Southern Medical University, Guangzhou, Guangdong, 510000, China|The Henan Cancer Hospital, Zhengzhou, Henan, 450008, China|Hunan Provincial People's Hospital (The First Affiliated Hospital of Hunan Normal University), Changsha, Hunan, 410005, China|Shanghai Tenth Hospital, Tongji University, Shanghai, Shanghai Municipality, 200032, China|Zhongshan Hospital Fudan University, Shanghai, Shanghai Municipality, 200032, China|Zhejiang Cancer Hospital, Hangzhou, Zhejiang, 310022, China","China"
"NCT02582827","QUILT-3.014: A Trial of ABI-011 Administered Weekly in Patients With Advanced Solid Tumors or Lymphomas","WITHDRAWN","Neoplastic Disease","NantBioScience, Inc.","PHASE1","INTERVENTIONAL","2017-11-13","2019-08-23","Chan Soon-Shiong Institute for Medicine, El Segundo, California, 90245, United States","United States"
"NCT03135769","Avelumab in Chemo-resistant Gestational Trophoblastic Neoplasias","COMPLETED","Gestational Trophoblastic Neoplasias (GTN)","Hospices Civils de Lyon","PHASE2","INTERVENTIONAL","2017-02-21","2021-03-17","Institut Bergonie, Bordeaux, 33000, France|Centre Francois Baclesse, Caen, 14000, France|Institut Paoli-Calmettes, Marseille, 13000, France|Aphp Hopital Tenon, Paris, 75020, France|Hospices Civils de Lyon - CHLS, Pierre-Bénite, 69495, France|Institut Universitaire Du Cancer de Toulouse - Oncopole, Toulouse, 31000, France","France"
"NCT04396223","Avelumab and Methotrexate in in Low-risk Gestational Trophoblastic Neoplasias as First Line Treatment","RECRUITING","Gestational Trophoblastic Neoplasias (GTN)","Hospices Civils de Lyon","PHASE1|PHASE2","INTERVENTIONAL","2020-02-12","2028-10-12","Centre Hospitalier Lyon Sud, Pierre-Bénite, Pierre Bénite, 69495, France|Institut Bergonié, Bordeaux, 33000, France|Centre François Baclesse, Caen, 14000, France|Centre Oscar Lambret, Lille, 59000, France|Institut Paoli-Calmettes, Marseille, 13000, France|Centre Antoine Lacassagne, Nice, 06000, France|Assistance Publique Hôpitaux de Paris, Paris, France|Centre Eugène Marquis, Rennes, 35000, France|Institut Universitaire du Cancer de Toulouse - Oncopole, Toulouse, 31000, France","France"
"NCT03359239","Atezolizumab Given in Combination With a Personalized Vaccine in Patients With Urothelial Cancer","COMPLETED","Urothelial/Bladder Cancer, Nos","Matthew Galsky","PHASE1","INTERVENTIONAL","2019-05-08","2021-10-12","Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States","United States"
"NCT06888531","Prospective Phase II Clinical Study of Neoadjuvant Chemoradiotherapy Combined With PD-1/PD-L1 Inhibitors in the Treatment of Locally Advanced Resectable Esophageal Squamous Cell Carcinoma","ACTIVE_NOT_RECRUITING","Esophageal Malignant Neoplasm Primary","Henan Cancer Hospital","PHASE2","INTERVENTIONAL","2025-03-08","2027-12-31","Henan Cancer Hospital, Zhengzhou, Henan, China","China"
"NCT00489086","Topical Tazarotene in Treating Patients With Basal Cell Skin Cancer and Basal Cell Nevus Syndrome on the Face","COMPLETED","Neoplastic Syndrome","UCSF Benioff Children's Hospital Oakland","PHASE2","INTERVENTIONAL","2004-07-01","2012-06-01","Children's Hospital and Research Center Oakland, Oakland, California, 94609, United States|Herbert Irving Comprehensive Cancer Center at Columbia University Medical Center, New York, New York, 10032, United States","United States"
"NCT07244835","A Study of DEG6498 in Participants With Solid Tumors","RECRUITING","Malignant Neoplasms","Degron Therapeutics Co.","PHASE1","INTERVENTIONAL","2025-11-13","2028-12-01","Beijing Cancer Hospital, Beijing, Beijing Municipality, 100142, China|Sun Yat-Sen University Cancer Center, Guangzhou, Guangdong, 510060, China","China"
"NCT05714748","Application of mRNA Immunotherapy Technology in Epstein-Barr Virus-related Refractory Malignant Tumors","ACTIVE_NOT_RECRUITING","Malignant Tumors","West China Hospital","PHASE1","INTERVENTIONAL","2023-02-08","2025-05-31","West China Hospital, Sichuan University, Chengdu, Sichuan, 610041, China","China"
"NCT04084067","Indocyanine Green (ICG) Guided Tumor Resection","RECRUITING","Neoplastic Disease|Solid Tumor","St. Jude Children's Research Hospital","PHASE1","INTERVENTIONAL","2020-02-07","2027-12-31","St. Jude Children's Research Hospital, Memphis, Tennessee, 38105, United States","United States"
"NCT01907685","Dose Escalation, Safety and Pharmacokinetic Study of AVE8062 Combined With Docetaxel in Patients With Advanced Solid Tumors","COMPLETED","Advanced Neoplastic Disease","Sanofi","PHASE1","INTERVENTIONAL","2006-06-01","2011-02-01","",""
"NCT07368803","Evaluation of the Safety, Tolerability and Efficacy of iNeo-Vac-R01, an Individualized mRNA Therapeutic Technology Based on Tumor Neoantigens, for Adjuvant Treatment in Patients With Biliary Malignant Tumors After Radical Resection","RECRUITING","Biliary Malignant Tumors","Yifan Wang","PHASE1|PHASE2","INTERVENTIONAL","2025-09-11","2027-09-30","Department of General Surgery, Institute of Minimally Invasive Surgery, Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, 310000, China","China"
"NCT06944444","A Phase I Clinical Study of SSS59 Monotherapy in Patients With Advanced Malignant Tumors","RECRUITING","Malignant Tumors","Shenyang Sunshine Pharmaceutical Co., LTD.","PHASE1","INTERVENTIONAL","2025-04-27","2027-12-31","Shanghai First People's Hospital, Shanghai, Shanghai Municipality, China","China"
